,missing_count,missing_percent,non_missing_count,dtype
Medal,286,73.33,104,object
Reaction_Time_ms,102,26.15,288,float64
World_Cup_Points_Preseason,98,25.13,292,float64
Body_Fat_Pct,31,7.95,359,float64
VO2max,28,7.18,362,float64
Training_Hours_Per_Week,27,6.92,363,float64
Altitude_Training_m,24,6.15,366,float64
Athlete_ID,0,0.0,390,object
Athlete_Name,0,0.0,390,object
Sport,0,0.0,390,object
Previous_Olympics,0,0.0,390,int64
Gender,0,0.0,390,object
Age,0,0.0,390,int64
Country,0,0.0,390,object
Career_Injuries,0,0.0,390,int64
Country_GDP_per_capita,0,0.0,390,int64
Winter_Sport_Tradition_Index,0,0.0,390,float64
