variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
Age,26.0,37.0,11.0,9.5,53.5,0,0.0
Previous_Olympics,1.0,3.0,2.0,-2.0,6.0,0,0.0
Training_Hours_Per_Week,21.7,29.0,7.300000000000001,10.749999999999998,39.95,0,0.0
Altitude_Training_m,174.5,1832.0,1657.5,-2311.75,4318.25,0,0.0
Body_Fat_Pct,9.9,13.2,3.299999999999999,4.950000000000002,18.15,14,3.62
VO2max,61.150000000000006,76.5,15.349999999999994,38.125000000000014,99.52499999999999,0,0.0
Reaction_Time_ms,177.0,204.0,27.0,136.5,244.5,15,3.88
Career_Injuries,1.0,4.0,3.0,-3.5,8.5,0,0.0
World_Cup_Points_Preseason,399.5,730.0,330.5,-96.25,1225.75,7,1.81
Country_GDP_per_capita,38000.0,62000.0,24000.0,2000.0,98000.0,0,0.0
Winter_Sport_Tradition_Index,0.71,0.88,0.17000000000000004,0.4549999999999999,1.135,35,9.04
